 ,,Part name,Unit Price,Total Price,Source,Team,Location (on vehicle),Specs,Purpose,Part Qauntitiy,Purchase Quantity,Link
,8,30A multi-directional Defiant ESC,$18.99,$151.92,Amazon,Electronics,Electronics tray,[Need exact part],Control Thrusters,8,8,https://www.amazon.com/30A-Defiant-ESC-Controller-Multi-Directional/dp/B0C5RYKSV2?dib=eyJ2IjoiMSJ9.tHkdzChxkiyClznUe1erTd1COm85eK6OG3l0kKk-RtruwslhCtnRpcPCaDG-dVkhhWlKGkUK9srS1JipyCRN3mqBtA2JhER2ShioCGQgVg6EoD9UHw83WSrUW8RtLclrtLdLgw_-tOQPeG7ayk9oEu0Aso-4_6eE1iOsnyC_OMsvOO3HzyC-qOl_RpnwlYzgP4O1UeSbSnSkxDDrdl-SvJ7UdFkZWvyY7vsl9chngD0kZdx9tFkkDXkF-DFYOTM1lMCtnKTnKbBA2yDXsDjET7GPQ4W-K3v3jG_piFLfBSw.zVzbZex-87RNzawbA0HTu4EwEQyCAiccOfjh-toihfM&dib_tag=se&keywords=30a%2Besc%2Bdefiant&qid=1711997353&sr=8-2&th=1&linkCode=sl1&tag=rcelectricpar-20&linkId=ac7047694be104426008c40b3e8385bc&language=en_US&ref_=as_li_ss_tl
,1,Flashlight,$8.49,$8.49,Amazon,Electronics,Exterior hull,Any,Control circuit and Reflector for led,2,1,https://www.amazon.com/Military-Lumens-Tactical-Waterproof-Flashlight/dp/B073VZZKK5/ref=sr_1_3_sspa?crid=2M3QKHWVXB8W4&dib=eyJ2IjoiMSJ9.lXgbvoVZD44wU7zO2F8-y16vQwzctg-k_sQIS7tDIRxmCJR-Ak71hJfxCvoiw-7Qa6n935hj7fNCZIw2PufKr34FY94KTtrN8E9J515D5N9eukmlIF0mHCcWVuTkMReUAwraoYZVq56r-9CTfl9xKgmHyjirjZjtOCUsmdX7TnIg-aiyk46OpGfhh6aqKVPeu4uYgJWW9asGd1sN1qkSH9ckGFxVD2k-ZotCAREws5d5bI_EAZUTMpQkvtm4vZIOEoczuxRgY40Jz_lCLD6GjRLGQ85SdfJrmTqjrY7C4Z0.4HmhRhwXV3N4Yf9OJsceXXwlE-Pxx2GpXACwpNcpK2w&dib_tag=se&keywords=flashlight&qid=1741422732&sprefix=flashligh%2Caps%2C204&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
,2,Seeed Studio XIAO ESP32C3,$4.99,$9.98,Digikey,Electronics,Flashlights,[Need exact part],Control Flashlight logic,2,2,https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/113991054/16652880?gclsrc=aw.ds&&utm_adgroup=&utm_source=google&utm_medium=cpc&utm_campaign=PMax%20Shopping_Product_Low%20ROAS%20Categories&utm_term=&utm_content=&utm_id=go_cmp-20243063506_adg-_ad-__dev-c_ext-_prd-16652880_sig-Cj0KCQiA8q--BhDiARIsAP9tKI1dtMzLnNqyYabjQPV5INZwOZ9zNJopy4ov2H6VovIXFSTS_blOxWcaAhF5EALw_wcB&gad_source=1&gclid=Cj0KCQiA8q--BhDiARIsAP9tKI1dtMzLnNqyYabjQPV5INZwOZ9zNJopy4ov2H6VovIXFSTS_blOxWcaAhF5EALw_wcB
,1,2s Lipo Battery 2200mAh,$27.89,$27.89,Amazon,Electronics,Flashlights,See Part Name,Powers Flashlights,2,1,https://www.amazon.com/Zeee-Connector-Helicopter-Airplane-Quadcopter/dp/B0BYNKBKGT/ref=sr_1_2_sspa?crid=3E1OSGCNY477D&dib=eyJ2IjoiMSJ9.pLGWNxu6EX24rb6Wpa28tphNrZHPch40FQRebNyDsnLQz5wFQKHvrcq6KVO6dq-dHxntpokWfakBuEOyyPd-t1MQqiEgKNrq5KsdPHaflWC40RdjiphWVGL2BHwrbocFXRReiM-N0NHXeAEgO0njQlF5oF6DSV2_VO4T1UHaXE2vT-V2hIyti69SFgjKWO8UUWpgQOtZ5N7MfGjsVJVgzuhlrhMFgMdadiXyemZcEIcQBgEK66FiyzA6BisHtZr9U6oMhbCmNUkuLfIlRzM5V6OmDd1pKFGAccNi0blBPmI.1J93D8tG5VRsAq3tIu4v3q2chKzwIOtj4k5KIOd4OBs&dib_tag=se&keywords=2s%2BLipo%2BBattery%2B2200mAh&qid=1741423358&sprefix=2s%2Blipo%2Bbattery%2B2200mah%2Caps%2C188&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
,2,5v buck converter,$6.95,$13.90,Adafruit,Electronics,Flashlights,1A minimum,Regulates flashlight power,2,2,https://www.adafruit.com/product/4739
,,2 inch pvc,$8.48,$8.48,Lowes,Electronics,Flashlights,N/A,Flashlight body,2ft,1,https://www.lowes.com/pd/Charlotte-Pipe-2-in-x-2-ft-PVC-Pipe/5005518961
,1,2 inch Threaded pvc cap,$7.95,$15.90,Amazon,Electronics,Flashlights,N/A,Openable end of flashlights,2,2,https://www.amazon.com/Threaded-Cap-Schedule-40-PVC/dp/B000VYN23W/ref=asc_df_B000VYN23W?mcid=a34623da747b374fb0f44df343a1dd15&hvocijid=4495615818098178723-B000VYN23W-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=730312820598&hvpos=&hvnetw=g&hvrand=4495615818098178723&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=9033458&hvtargid=pla-2281435177858&th=1
,,2 inch Threaded pvc adapter,$2.59,$5.18,Home Depot,Electronics,Flashlights,N/A,adapter for threaded cap,2,2,https://www.homedepot.com/pep/Charlotte-Pipe-2-in-PVC-Schedule-40-MPT-x-S-Male-Adapter-PVC-02109-1600HD/203825431?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-BF-CDP-GGL-D26P-026_001_PIPE_FITTING-NA-NA-NA-PLALIA-NA-NA-NA-NA-NBR-NA-NA-NEW-_PLATEST&cm_mmc=SHOPPING-BF-CDP-GGL-D26P-026_001_PIPE_FITTING-NA-NA-NA-PLALIA-NA-NA-NA-NA-NBR-NA-NA-NEW-_PLATEST-22111492781-173962209835-331272778036&gclsrc=aw.ds&gad_source=1&gclid=Cj0KCQiA8q--BhDiARIsAP9tKI1sCq-odJ_A_DiMKeAxeCbiu_xDnyNmoPr8CKOeCyFGxLWVsc08AeIaAsv7EALw_wcB
,,1 1/2 inch pvc,$5.85,$5.85,Home Depot,Electronics,Flashlights,N/A,pvc for clear cap,6 inches,1,https://www.homedepot.com/p/Charlotte-Pipe-1-1-2-in-x-2-ft-PVC-DWV-Schedule-40-Pipe-PVC071120200HA/100581718
,,2 inch to 1 1/2 inch pvc reducer,$3.32,$6.64,Lowes,Electronics,Flashlights,N/A,pvc adapter,2,2,https://www.lowes.com/pd/Charlotte-Pipe-2-IN-X-1-1-2-IN-SCH40-REDUCER-BUSHING/5012474889
,,1 1/2 inch clear pvc cap,$3.90,$7.80,US Plastic,Electronics,Flashlights,N/A,clear cap,2,2,https://www.usplastic.com/catalog/item.aspx?itemid=154673&clickid=search
,,Pvc cement,$5.22,$5.22,Home Depot,Electronics,Flashlights,N/A,holds PVC parts together,1,1,https://www.homedepot.com/pep/Oatey-8-oz-Regular-Clear-PVC-Cement-California-Compliant-310133V/322402448?g_store=&source=shoppingads&locale=en-US&pla&mtc=SHOPPING-BF-CDP-GGL-D26P-026_001_PIPE_FITTING-NA-NA-NA-PLALIA-NA-NA-NA-NA-NBR-NA-NA-NEW-_PLATEST&cm_mmc=SHOPPING-BF-CDP-GGL-D26P-026_001_PIPE_FITTING-NA-NA-NA-PLALIA-NA-NA-NA-NA-NBR-NA-NA-NEW-_PLATEST-22111492781-173962209835-331272777516&gclsrc=aw.ds&gad_source=1&gclid=Cj0KCQiA8q--BhDiARIsAP9tKI1dx65K0hiOxNN2FyJzXX6uXpPvuM0F4sR484-34pkYK32VZuAedFUaAmlNEALw_wcB
,1,USB A hub,$6.99,$13.98,Amazon,Electronics,Electronics tray,3 ports or more,adds more USB ports to the Pi,2,2,https://www.amazon.com/UGREEN-Splitter-Ultra-Slim-Expander-Compatible/dp/B0CD1BHXPZ/ref=sr_1_6?crid=99EHNABYR9ZY&dib=eyJ2IjoiMSJ9.lX3Oa0Sl6oY0sH5jggB4hjahxMnskYh4U9I25wXJk67wsD2RxibZS0HeifD-OOncSXHAhLUzH2CXKQGfMVJ0gGRMSOcda8xHCCriYuUiHD1od0o8EDm2gpvyxmXXRk3GXZ8yNHHDytBvzxkmvbVfRCgMf-7HOiy0u1NoBpaUpF_FYYDioAwLh65VTftTgJXkMfZZPOlqgyJoZiCurEPQgyYTQBOnM_5It0E5MBTR7u4.lJxGS4Ugt3CnLV_drdSTo9nZmBQ8tXxWYNXLpZAWEY4&dib_tag=se&keywords=usb%2BA%2Bhub&qid=1741424082&sprefix=usb%2Ba%2Bhu%2Caps%2C182&sr=8-6&th=1
,1,Dupont cables,$6.98,$13.96,Amazon,Electronics,Electronics tray,N/A,Connects microcontrollers to circuits,2,2,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_3_pp?crid=2KT77L6XNGEMX&dib=eyJ2IjoiMSJ9.QGbaFF62mgZ1Tf0J7CajkBnivKMOTOpZJUS1O07RvMQU3CAJkJItodgHMXr-DiiJ-FDFiWcsNQ_QE6lirbsx2Mb_L6VHmvl9hVIxqoNa9aVfbZqLGnqIEXrl7UH-EBU11tEVYbXtivaDyGXfp98prCGewThVxp4-yOJKrJeBL7pBjnUB9d2itO3FHVKH3bSJHUTVtUo3MhosWlAyl53Dgx7X7qASUGAWjVBbHD5vuEs.uv8jUzmf36kxkS1kLaT0zW0kUCi3cGh7kixOTUBd6_s&dib_tag=se&keywords=dupont+cables&qid=1741424152&sprefix=dupont+cable%2Caps%2C167&sr=8-3
,1,Noctua 80mm fan,$16.11,$48.33,Amazon,Electronics,Interior Cooling ducts,N/A,Provides air circulation,3,3,https://www.amazon.com/Noctua-Bearing-Premium-NF-A8-PWM/dp/B00VG9PJBO/ref=asc_df_B00VG9PJBO?mcid=9df0e357253335b19d65e9c5ce952d09&hvocijid=9631906556185081387-B00VG9PJBO-&hvexpln=73&tag=hyprod-20&linkCode=df0&hvadid=730312820598&hvpos=&hvnetw=g&hvrand=9631906556185081387&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1027751&hvtargid=pla-2281435179578&th=1
,5,4468 fans,$2.95,$14.75,Digikey,Electronics,Interior Cooling ducts,N/A,directs air onto components,5,5,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4468/11587354
,,Copper Sheet,$0.00,$0.00,Pre-Owned,Electronics,Interior face of Hull,,Provides thermal mass for dissipation,1,1,
